,Name,Global_Sales,Score_pro,Score_user,N_pro,N_user,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,PC,nintendo,playstation,xbox
113,Star Wars Episode III: Revenge of the Sith,0.72,7.3,8.0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Star Wars Episode III: Revenge of the Sith,0.72,7.3,8.0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Star Wars Episode III: Revenge of the Sith,0.31,7.3,7.8,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,Star Wars Episode III: Revenge of the Sith,0.31,7.3,7.8,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,The Lord of the Rings: The Return of the King,3.28,8.5,8.6,31,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,The Lord of the Rings: The Return of the King,3.28,8.5,8.6,31,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,The Lord of the Rings: The Return of the King,1.14,8.4,8.1,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,The Lord of the Rings: The Return of the King,1.14,8.4,8.1,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,The Lord of the Rings: The Return of the King,0.69,8.4,8.2,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
122,The Lord of the Rings: The Return of the King,0.69,8.4,8.2,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,The Lord of the Rings: The Return of the King,0.56,7.7,8.3,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,The Lord of the Rings: The Return of the King,0.56,7.7,8.3,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,True Crime: Streets of LA,3.27,7.7,7.8,39,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,True Crime: Streets of LA,1.38,7.7,8.0,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,True Crime: Streets of LA,0.56,7.7,7.4,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,True Crime: Streets of LA,0.0,6.8,6.5,31,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,God of War: Chains of Olympus,3.19,9.1,8.6,79,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,Middle-Earth: Shadow of Mordor,3.19,8.4,8.0,85,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,Middle-Earth: Shadow of Mordor,1.42,8.7,8.0,12,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,Middle-Earth: Shadow of Mordor,0.37,8.4,7.9,17,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,Enter the Matrix,3.18,6.2,8.2,30,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,Enter the Matrix,1.2,6.5,7.2,33,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Enter the Matrix,0.45,6.3,8.2,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,Enter the Matrix,0.0,5.8,6.7,21,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,Resident Evil 6,3.12,7.4,5.7,34,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
