Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,day,year,month,release_date,quarter,Franchise_wikipedia,compound,multiplayer,singleplayer
LEGO Star Wars: The Complete Saga,PS3,Action,2.31,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, General, General, Compilation",8.0,7.3,lucasarts,Traveller's Tales,18,120,6,2007,11,2007-11-06,4.0,Star Wars,0.3491444444444445,1.0,1.0
Assassin's Creed II,PS3,Action,5.57,assassin-s-creed-ii,Assassin's Creed II,"Action Adventure, Historic, Historic, Open-World",9.1,8.7,ubisoft,Ubisoft Montreal,70,1942,17,2009,11,2009-11-17,4.0,Assassin's Creed,0.6452042857142858,0.0,1.0
Assassin's Creed II,X360,Action,5.3,assassin-s-creed-ii,Assassin's Creed II,"Action Adventure, Historic, Historic, Open-World",9.0,8.8,ubisoft,Ubisoft Montreal,82,1797,17,2009,11,2009-11-17,4.0,Assassin's Creed,0.6454060975609759,0.0,1.0
Assassin's Creed II,PC,Action,0.54,assassin-s-creed-ii,Assassin's Creed II,"Action Adventure, Historic, Historic, Open-World",8.6,7.4,ubisoft,Ubisoft Montreal,22,2491,9,2010,3,2010-03-09,1.0,Assassin's Creed,0.36145909090909095,0.0,1.0
Batman: Arkham City,PS3,Action,5.54,batman-arkham-city,Batman: Arkham City,"Action Adventure, Fantasy, Fantasy, Open-World",9.6,8.8,warner bros interactive entertainment,Rocksteady Studios,42,3141,18,2011,10,2011-10-18,4.0,Batman,0.6761595238095236,0.0,1.0
Batman: Arkham City,X360,Action,4.75,batman-arkham-city,Batman: Arkham City,"Action Adventure, Fantasy, Fantasy, Open-World",9.4,8.8,warner bros interactive entertainment,Rocksteady Studios,87,1781,18,2011,10,2011-10-18,4.0,Batman,0.5938885057471263,0.0,1.0
Batman: Arkham City,PC,Action,0.52,batman-arkham-city,Batman: Arkham City,"Action Adventure, Fantasy, Fantasy, Open-World",9.1,8.7,warner bros interactive entertainment,Rocksteady Studios,27,2734,21,2011,11,2011-11-21,4.0,Batman,0.4022333333333333,0.0,1.0
Resident Evil 5,PS3,Action,5.1,resident-evil-5,Resident Evil 5,"Action Adventure, Horror, Horror, Survival",8.4,7.4,capcom,Capcom,76,909,13,2009,3,2009-03-13,1.0,Resident Evil,0.15949342105263153,1.0,1.0
Resident Evil 5,X360,Action,3.53,resident-evil-5,Resident Evil 5,"Action Adventure, Horror, Horror, Survival",8.3,7.4,capcom,Capcom,91,682,13,2009,3,2009-03-13,1.0,Resident Evil,0.24606593406593422,1.0,1.0
Resident Evil 5,PS4,Action,0.07,resident-evil-5,Resident Evil 5,"Action Adventure, Survival",6.9,7.2,capcom,Capcom,14,371,28,2016,6,2016-06-28,2.0,Resident Evil,0.4885357142857143,1.0,1.0
Resident Evil 5,PC,Action,0.07,resident-evil-5,Resident Evil 5,"Action Adventure, Horror, Horror, Survival",8.6,7.2,capcom,Capcom,30,987,15,2009,9,2009-09-15,3.0,Resident Evil,0.61594,1.0,1.0
Resident Evil 5,XOne,Action,0.04,resident-evil-5,Resident Evil 5,"Action Adventure, Survival",7.5,7.4,capcom,Capcom,8,100,28,2016,6,2016-06-28,2.0,Resident Evil,0.215175,1.0,1.0
Grand Theft Auto: Vice City Stories,PSP,Action,5.08,grand-theft-auto-vice-city-stories,Grand Theft Auto: Vice City Stories,"Action Adventure, Modern, Modern, Open-World",8.6,8.2,rockstar games,Rockstar Leeds,50,54,31,2006,10,2006-10-31,4.0,Grand theft Auto,0.4749215000000001,1.0,1.0
Grand Theft Auto: Vice City Stories,PS2,Action,0.97,grand-theft-auto-vice-city-stories,Grand Theft Auto: Vice City Stories,"Action Adventure, Modern",7.5,7.8,rockstar games,Rockstar Leeds,37,159,5,2007,3,2007-03-05,1.0,Grand theft Auto,0.29860270270270267,1.0,1.0
Uncharted: Drake's Fortune,PS3,Action,4.97,uncharted-drake-s-fortune,Uncharted: Drake's Fortune,"Action Adventure, Modern, Modern, Linear",8.8,7.9,scea,Naughty Dog,66,3716,16,2007,11,2007-11-16,4.0,Uncharted,0.5337166666666667,0.0,1.0
God of War III,PS3,Action,4.81,god-of-war-iii,God of War III,"Action Adventure, Fantasy, Fantasy, Linear",9.2,8.8,scea,SCE Santa Monica,101,3677,16,2010,3,2010-03-16,1.0,God of War,0.4524128712871287,0.0,1.0
Monster Hunter: World,PS4,Action,4.67,monster-hunter-world,Monster Hunter: World,"Role-Playing, Action RPG",9.0,7.7,capcom,Capcom,100,468,26,2018,1,2018-01-26,1.0,Monster Hunter,0.6322609318996413,0.0,1.0
Monster Hunter: World,XOne,Action,0.93,monster-hunter-world,Monster Hunter: World,"Role-Playing, Action RPG",9.0,7.2,capcom,Capcom,17,99,26,2018,1,2018-01-26,1.0,Monster Hunter,0.7744323529411762,0.0,1.0
The Lord of the Rings: The Two Towers,PS2,Action,4.67,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.1,ea games,Stormfront Studios,32,122,21,2002,10,2002-10-21,4.0,The Lord of the Rings,0.3210406250000001,0.0,1.0
The Lord of the Rings: The Two Towers,PS2,Action,4.67,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.1,ea games,Stormfront Studios,32,122,21,2002,10,2002-10-21,4.0,The Lord of the Rings,0.3210406250000001,0.0,1.0
The Lord of the Rings: The Two Towers,XB,Action,0.71,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",7.9,8.2,ea games,Stormfront Studios,17,19,30,2002,12,2002-12-30,4.0,The Lord of the Rings,0.12231764705882353,0.0,1.0
The Lord of the Rings: The Two Towers,XB,Action,0.71,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",7.9,8.2,ea games,Stormfront Studios,17,19,30,2002,12,2002-12-30,4.0,The Lord of the Rings,0.12231764705882353,0.0,1.0
The Lord of the Rings: The Two Towers,GC,Action,0.53,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.4,ea games,Stormfront Studios,13,34,30,2002,12,2002-12-30,4.0,The Lord of the Rings,0.49372307692307693,0.0,1.0
The Lord of the Rings: The Two Towers,GC,Action,0.53,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.4,ea games,Stormfront Studios,13,34,30,2002,12,2002-12-30,4.0,The Lord of the Rings,0.49372307692307693,0.0,1.0
