,Name,multiplayer,singleplayer,awarded
685,James Bond 007: Everything or Nothing,1,1,0.0
686,WarioWare Touched!,0,1,0.0
687,Need For Speed: High Stakes,1,1,0.0
688,Chrono Trigger,1,1,0.0
689,Cool Boarders 3,1,1,0.0
690,LEGO Marvel Super Heroes,1,1,0.0
691,Guild Wars 2,1,0,0.0
692,Pokemon Ranger: Shadows of Almia,0,1,0.0
695,God of War: Ascension,1,1,1.0
697,Pro Evolution Soccer 2010,1,1,0.0
698,Just Dance 2015,0,1,0.0
700,Mario Bros.,1,1,0.0
704,TOCA Touring Car Championship,1,1,1.0
705,Paper Mario: Sticker Star,0,1,0.0
706,Sonic's Ultimate Genesis Collection,1,1,0.0
707,Super Monkey Ball: Banana Blitz,1,1,0.0
708,Kirby: Nightmare in Dream Land,1,1,0.0
709,Wario Land 4,0,1,0.0
714,Onimusha 2: Samurai's Destiny,0,1,0.0
715,Cool Boarders 2,1,1,0.0
716,Paper Mario: The Thousand-Year Door,0,1,0.0
719,Dissidia: Final Fantasy,0,1,0.0
720,Sonic Advance,1,1,0.0
721,Spyro: Season of Ice,0,1,0.0
722,Teenage Mutant Ninja Turtles II: The Arcade Game,1,1,0.0
724,Dance Dance Revolution X2,1,1,0.0
725,New Super Luigi U,1,1,0.0
726,Prince of Persia: The Sands of Time,0,1,0.0
728,The Legend of Zelda: Link's Awakening DX,0,1,1.0
730,BioShock 2,1,1,0.0
733,Rock Band 2,1,1,0.0
736,Wario Land 3,0,1,0.0
738,Sonic Unleashed,0,1,0.0
739,High School Musical: Makin' the Cut!,1,1,0.0
740,Pro Evolution Soccer 2012,1,1,0.0
743,Kirby's Pinball Land,0,1,0.0
745,Hitman: Absolution,0,1,0.0
747,ATV Offroad Fury 2,1,1,0.0
748,Forza Motorsport 5,1,1,0.0
750,Pokemon Ranger,0,1,0.0
751,Mario & Luigi: Superstar Saga,0,1,0.0
753,Star Wars: Rogue Squadron,0,1,0.0
755,The Sims: House Party,0,1,0.0
757,Syphon Filter 2,1,1,0.0
758,Tom Clancy's Rainbow Six: Siege,1,1,1.0
761,Call of Duty: Roads to Victory,1,1,0.0
762,Super Mario RPG: Legend of the Seven Stars,0,1,0.0
764,R.C. Pro-Am,0,1,0.0
765,SimCity 2000,0,1,0.0
766,Demon Attack,0,1,0.0
767,Dance Dance Revolution Extreme,1,1,0.0
768,Tetris DS,1,1,1.0
769,Final Fantasy Tactics Advance,1,1,0.0
770,Far Cry: Primal,1,1,0.0
771,Toy Story 3: The Video Game,1,1,0.0
773,Kirby's Epic Yarn,1,1,0.0
780,Need for Speed: Hot Pursuit 2,1,1,0.0
781,Mario Sports Mix,1,1,0.0
783,Dynasty Warriors 4,1,1,0.0
786,Scooby-Doo! Night of 100 Frights,0,1,0.0
788,Need for Speed: Most Wanted 5-1-0,1,1,0.0
789,Portal 2,1,1,1.0
790,Devil May Cry 3: Dante's Awakening,1,1,0.0
794,NBA 2K11,1,1,0.0
797,Battlefield: Hardline,1,1,0.0
798,Metal Gear Solid: Peace Walker,1,1,1.0
799,World of Warcraft: Cataclysm,1,0,0.0
800,Tetris Worlds,1,1,0.0
801,Need For Speed: Undercover,1,1,0.0
802,Dance Dance Revolution: Hottest Party,1,1,0.0
803,Mario Party 5,1,1,0.0
805,Sim Theme Park,0,1,0.0
806,Warcraft: Orcs & Humans,1,1,0.0
809,Kingdom Hearts: Birth by Sleep,1,1,0.0
810,UFC 2009 Undisputed,1,1,0.0
811,Dark Souls,1,1,1.0
815,Tom Clancy's Splinter Cell: Conviction,1,1,0.0
818,R4: Ridge Racer Type 4,1,1,0.0
819,SoulCalibur II,1,1,0.0
820,Mario & Luigi: Dream Team,0,1,0.0
825,Sonic Mega Collection,1,1,0.0
829,Kingdom Hearts 358/2 Days,1,1,0.0
830,Dance Central 2,1,1,0.0
831,Rayman Raving Rabbids: TV Party,1,1,0.0
832,SOCOM: U.S. Navy SEALs: Combined Assault,1,1,0.0
833,Peter Jackson's King Kong: The Official Game of the Movie,1,1,1.0
835,Need for Speed: The Run,1,1,0.0
839,NBA Live 2004,1,1,0.0
841,Call of Duty 2,1,1,0.0
843,Forza Horizon,1,1,0.0
847,Fire Emblem: Awakening,1,1,1.0
848,DriveClub,1,1,0.0
850,Mortal Kombat vs. DC Universe,1,1,0.0
851,Tenchu: Stealth Assassins,0,1,0.0
858,Dragon Age: Inquisition,1,1,1.0
859,Sonic Classic Collection,0,1,0.0
860,Spyro: Enter the Dragonfly,0,1,0.0
862,Devil May Cry 2,0,1,0.0
863,Burnout Paradise,1,1,1.0
865,BioShock Infinite,0,1,1.0
866,Hot Shots Golf: Open Tee,1,1,0.0
867,Rad Racer,0,1,0.0
869,Kirby Squeak Squad,1,1,0.0
870,Tom Clancy's Rainbow Six: Vegas,1,1,0.0
872,Crash Nitro Kart,1,1,0.0
874,Star Wars: Dark Forces,1,1,0.0
875,NBA Street Vol. 2,1,1,0.0
876,Def Jam Vendetta,1,1,0.0
881,Dragon Ball Z: Budokai 3,1,0,0.0
882,Jet Moto 2,1,1,0.0
884,X-Men Legends,1,1,0.0
887,Mortal Kombat II,1,1,1.0
889,Tetris DX,1,1,0.0
892,Mario Super Sluggers,1,1,0.0
894,The Legend of Zelda: Oracle of Ages,0,1,0.0
898,The Sims: Makin' Magic,0,1,0.0
899,MX Unleashed,1,1,0.0
900,PaRappa The Rapper,1,1,0.0
902,Mario Party 3,1,1,1.0
904,Game Party 2,1,1,0.0
905,Destiny: The Taken King,1,0,1.0
906,LEGO Star Wars III: The Clone Wars,1,1,0.0
907,Star Wars Rogue Leader: Rogue Squadron II,0,1,0.0
908,Max Payne 3,1,1,1.0
909,Need for Speed Rivals,1,1,0.0
912,Ratchet & Clank Future: A Crack in Time,0,1,0.0
913,Yu-Gi-Oh! Forbidden Memories,1,1,0.0
914,Mortal Kombat: Deception,1,1,0.0
915,Hot Shots Golf 2,1,1,0.0
918,High School Musical: Sing It!,1,1,0.0
919,Star Fox Adventures,0,1,0.0
920,FIFA 2000,1,1,0.0
921,Dynasty Warriors 3,1,1,1.0
923,The Legend of Zelda: Oracle of Seasons,0,1,0.0
926,The Legend of Dragoon,0,1,0.0
927,Turok 2: Seeds of Evil,1,1,0.0
929,LittleBigPlanet 3,1,1,0.0
930,NBA Live 2002,1,1,0.0
932,Chrono Cross,0,1,0.0
933,GoldenEye 007 (2010),1,1,0.0
934,Mario Party: Island Tour,1,1,0.0
935,Jak 3,0,1,0.0
936,Rayman Raving Rabbids 2,1,1,0.0
937,Kingdom Hearts: Chain of Memories,1,1,0.0
939,inFAMOUS 2,0,1,0.0
941,Demon's Souls,1,1,1.0
942,NCAA Football 06,1,1,0.0
943,"Hey You, Pikachu!",0,1,0.0
945,World of Warcraft: Mists of Pandaria,1,0,0.0
