ES_Name,Name,Release_date,platform,Analyst_Score,Community_score,N_com_votes
Anno 1503: El Nuevo Mundo,Anno 1503: El Nuevo Mundo,11/4/2003,PC,8.5,8.6,5
Ninja Cop,Ninja Cop,Mayo 2003,GBA,8.5,7.45,15
Donkey Kong Country,Donkey Kong Country,6/6/2003,GBA,8.5,8.22,91
Socom: US Navy Seals,Socom: US Navy Seals,18/6/2003,PS2,8.5,7.54,85
Dynasty Warriors 4,Dynasty Warriors 4,27/6/2003,PS2,8.5,7.73,64
Skies of Arcadia Legends,Skies of Arcadia Legends,Junio 2003,GCN,8.5,8.6,251
P.N.03,Product Number 03,5/9/2003,GCN,8.5,7.71,105
Madden NFL 2004,Madden NFL 2004,19/9/2003,PS2,8.5,7.33,3
FIFA Football 2004,FIFA Soccer 2004,1/11/2003,XBOX,8.5,6.43,39
NBA Live 2004,NBA Live 2004,7/11/2003,PC,,7.88,17
Age of Mythology: The Titans,Age of Mythology: The Titans,24/10/2003,PC,8.5,8.49,63
Worms 3D,Worms 3D,28/10/2003,PS2,8.5,6.33,20
Worms 3D,Worms 3D,28/10/2003,GCN,,7.48,18
Worms 3D,Worms 3D,28/10/2003,XBOX,,5.88,6
The Simpsons Hit & Run,The Simpsons Hit & Run,31/10/2003,PS2,8.5,7.73,51
The Simpsons Hit & Run,The Simpsons Hit & Run,31/10/2003,XBOX,,7.07,23
True Crime: Streets of Los Angeles,True Crime: Streets of LA,7/11/2003,PS2,8.5,7.44,64
True Crime: Streets of Los Angeles,True Crime: Streets of LA,7/11/2003,XBOX,,7.64,29
NBA Live 2004,NBA Live 2004,7/11/2003,PS2,8.5,6.78,15
NBA Live 2004,NBA Live 2004,7/11/2003,GCN,,7.33,3
NBA Live 2004,NBA Live 2004,7/11/2003,XBOX,,7.38,6
Mario Kart: Double Dash,Mario Kart: Double Dash,14/11/2003,GCN,8.5,8.34,411
El Señor de los Anillos: El Retorno del Rey,The Lord of the Rings: The Return of the King,14/11/2003,GBA,8.5,7.6,14
Amped 2,Amped 2,21/11/2003,XBOX,8.5,8.24,19
True Crime: Streets of Los Angeles,True Crime: Streets of LA,7/11/2003,GCN,,7.41,56
1080 Avalanche,1080 Snowboarding 2,28/11/2003,GCN,8.5,8.21,148
Fenimore Fillmore: The Westerner,Fenimore Fillmore: The Westerner,5/12/2003,PC,8.5,6.25,6
SpellForce: The Order of Dawn,SpellForce: The Order of Dawn,9/12/2003,PC,8.5,6.27,4
Racing Evoluzione,Apex,Febrero 2003,XBOX,8.4,7.68,81
Midtown Madness 3,Midtown Madness 3,26/6/2003,XBOX,8.4,7.53,82
Sonic Adventure DX Director's Cut,Sonic Adventure DX Director's Cut,26/6/2003,GCN,8.4,7.78,127
Zoo Tycoon: Complete Collection,Zoo Tycoon: Complete Collection,5/9/2003,PC,8.4,7.03,8
FIFA Football 2004,FIFA Soccer 2004,1/11/2003,GCN,8.4,6.86,47
Ape Escape 2,Ape Escape 2,14/03/2003,PS2,8.3,7.5,57
Indiana Jones y la Tumba del Emperador,Indiana Jones and the Emperor's Tomb,19/9/2003,PS2,8.3,7.46,8
Zone of the Enders 2: The Second Runner,Zone of the Enders: The 2nd Runner,29/9/2003,PS2,8.3,8.74,213
IGI 2,Project IGI 2: Covert Strike,Marzo 2003,PC,8.2,7.49,9
Primal,Primal,11/4/2003,PS2,8.2,7.63,99
Megaman Network Transmission,Megaman Network Transmission,27/6/2003,GCN,8.2,7.63,47
Análisis,Análisis,6/10/2003,XBOX,8.1,7.07,30
Def Jam VENDETTA,Def Jam VENDETTA,25/6/2003,PS2,8.1,7.8,21
Stuntman,Stuntman,Año 2002,GBA,8.1,7.78,6
Warhammer 40.000 FireWarrior,Warhammer 40.000 FireWarrior,29/9/2003,PS2,8.1,8.42,7
Virtua Tennis,Virtua Tennis,Septiembre 2000,GBA,8,7.28,18
Dead or Alive Xtreme Beach Volleyball,Dead or Alive Xtreme Beach Volleyball,28/03/2003,XBOX,8,6.6,132
Sonic MegaCollection,Sonic MegaCollection,Abril 2003,GCN,8,7.82,104
Megaman Battle Network 3 Blue & White,Megaman Battle Network 3 Blue & White,19/7/2003,GBA,8,7.54,12
Battlefield 1942: Secret Weapons of WWII,Battlefield 1942: Secret Weapons of WWII,19/9/2003,PC,8,-,Sin
Conflict: Desert Storm 2,Conflict: Desert Storm II: Back to Baghdad,19/9/2003,PS2,8,7.31,12
Homeworld 2,Homeworld 2,26/9/2003,PC,8,7.87,6
Empires: Los Albores de la Era Moderna,Empires: Dawn of the Modern World,27/10/2003,PC,8,8.03,6
Billy Hatcher and the Giant Egg,Billy Hatcher and the Giant Egg,7/11/2003,GCN,8,7.26,83
Dragon Ball Z: Budokai 2,Dragon Ball Z: Budokai 2,13/11/2003,PS2,8,7.58,145
Grabbed by the Ghoulies,Grabbed by the Ghoulies,21/11/2003,XBOX,8,7.7,62
NBA Inside Drive 2004,NBA Inside Drive 2004,28/11/2003,XBOX,8,8.35,12
GhostHunter,GhostHunter,3/12/2003,PS2,8,7.3,47
Mission: Impossible: Operation Surma,Mission: Impossible: Operation Surma,4/12/2003,PS2,8,7.12,16
Mission: Impossible: Operation Surma,Mission: Impossible: Operation Surma,4/12/2003,XBOX,,-,Sin
Mario Party 5,Mario Party 5,5/12/2003,GCN,8,7.17,87
Secret Weapons Over Normandy,Secret Weapons Over Normandy,1/12/2003,PC,8,-,Sin
Secret Weapons Over Normandy,Secret Weapons Over Normandy,1/12/2003,XBOX,8,8.43,10
Imperivm II: La Conquista de Hispania,Imperivm 2,Diciembre 2003,PC,8,8.11,31
Brute Force,Brute Force,20/6/2003,XBOX,7.9,7.43,103
Sonic Pinball Party,Sonic Pinball Party,3/11/2003,GBA,7.9,6.05,17
Devil May Cry 2,Devil May Cry 2,2/4/2003,PS2,7.8,6.84,300
Medal of Honor: Rising Sun,Medal of Honor: Rising Sun,5/12/2003,PS2,7.8,7.16,38
Jurassic Park: Operation Genesis,Jurassic Park: Operation Genesis,21/3/2003,PS2,7.5,6.83,23
Indiana Jones y la Tumba del Emperador,Indiana Jones and the Emperor's Tomb,19/9/2003,XBOX,7.5,7.92,60
The Mark of Kri,The Mark of Kri,Marzo 2003,PS2,7.5,7.22,47
Wario World,Wario World,20/6/2003,GCN,7.5,7.06,90
F1 Career Challenge,F1 Career Challenge,27/6/2003,PS2,7.5,5.98,13
Análisis,Análisis,21/11/2003,GBA,7.5,6.18,6
Tomb Raider: El Ángel de la Oscuridad,Tomb Raider: The Angel of Darkness,4/7/2003,PS2,7.5,6.17,175
Banjo Kazooie: La Venganza de Grunty,Banjo Kazooie: La Venganza de Grunty,27/10/2003,GBA,7.5,7.38,31
FIFA Football 2004,FIFA Soccer 2004,1/11/2003,GBA,7.5,9,3
Ratchet & Clank: Totalmente a Tope,Ratchet & Clank: Going Commando,19/11/2003,PS2,7.5,8.41,53
Los Sims Toman la Calle,The Sims: Bustin' Out,3/12/2003,PS2,7.5,6.28,20
Los Sims Toman la Calle,The Sims: Bustin' Out,3/12/2003,GCN,,5.39,10
Los Sims Toman la Calle,The Sims: Bustin' Out,3/12/2003,XBOX,,5.48,5
Dead to Rights,Dead to Rights,5/9/2003,GCN,7.4,7.13,19
Manhunt,Manhunt,19/11/2003,PS2,7.4,7.42,81
Vexx,Vexx,Marzo 2003,PS2,7.3,6.36,25
ISS 3,ISS 3,8/04/2003,PS2,7.3,6.98,20
Resident Evil Dead Aim,Gun Survivor 4,19/7/2003,PS2,7.3,6.95,66
Dead to Rights,Dead to Rights,5/9/2003,PS2,7.3,7.55,14
Counter-Strike,Counter-Strike,1/11/2000,XBOX,7.3,7.43,36
Formula One 2003,Formula One 2003,25/7/2003,PS2,7.2,7.07,72
Medal of Honor: Rising Sun,Medal of Honor: Rising Sun,5/12/2003,GCN,7.2,6.52,18
Medal of Honor: Rising Sun,Medal of Honor: Rising Sun,5/12/2003,XBOX,,7,6
James Bond 007: Nightfire,James Bond 007: Nightfire,Abril 2003,GBA,7,8,1
Splinter Cell,Tom Clancy's Splinter Cell,28/3/2003,GBA,7,6.42,7
Return to Castle Wolfenstein: Operation Resurrection,Return to Castle Wolfenstein: Operation Resurrection,9/6/2003,PS2,7,6.53,15
F1 Career Challenge,F1 Career Challenge,27/6/2003,GCN,7,5.96,16
Hamtaro: Ham-Ham Heartbreak,Hamtaro: Ham-Ham Heartbreak,27/6/2003,GBA,7,8.7,24
Pokemon Pinball: Rubí & Zafiro,Pokemon Pinball: Rubí & Zafiro,14/11/2003,GBA,7,7.42,65
Crash Bandicoot: Nitro Kart,Crash Bandicoot: Nitro Kart,28/11/2003,XBOX,,7.59,6
Robin Hood: Defender of the Crown,Robin Hood: Defender of the Crown,28/11/2003,PS2,7,5.78,6
Robin Hood: Defender of the Crown,Robin Hood: Defender of the Crown,28/11/2003,XBOX,,4.5,5
Crash Bandicoot: Nitro Kart,Crash Bandicoot: Nitro Kart,28/11/2003,PS2,7,6.62,34
Crash Bandicoot: Nitro Kart,Crash Bandicoot: Nitro Kart,28/11/2003,GCN,,6.11,48
Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,30/10/2003,PS2,7,7.37,63
IndyCar Series,IndyCar Series,20/6/2003,PS2,6.8,6.66,3
X-Men: La Venganza de Lobezno,X-Men: Wolverine's Revenge,21/4/2003,PS2,6.7,5.94,20
The Hulk,The Hulk,13/6/2003,PS2,6.7,5.51,20
Lords of Everquest,Lords of Everquest,4/12/2003,PC,6.6,-,Sin
ToeJam & Earl III: Mission to Earth,ToeJam & Earl III: Mission to Earth,7/3/2003,XBOX,6.5,7.27,38
The King of Route 66,The King of Route 66,5/9/2003,PS2,6.5,6.63,7
Alien Versus Predator: Extinction,Alien Versus Predator: Extinction,3/9/2003,XBOX,6.5,6.36,3
Shinobi,Shinobi,11/11/2011,PS2,6.4,7.13,70
Wallace & Gromit: in Project Zoo,Wallace & Gromit: in Project Zoo,24/10/2003,PS2,6.4,3,1
Wallace & Gromit: in Project Zoo,Wallace & Gromit: in Project Zoo,24/10/2003,GCN,,-,Sin
Wallace & Gromit: in Project Zoo,Wallace & Gromit: in Project Zoo,24/10/2003,XBOX,,-,Sin
Harry Potter: Quidditch World Cup,Harry Potter: Quidditch World Cup,1/11/2003,PS2,6.4,6.2,10
Harry Potter: Quidditch World Cup,Harry Potter: Quidditch World Cup,1/11/2003,GCN,,5.97,7
Harry Potter: Quidditch World Cup,Harry Potter: Quidditch World Cup,1/11/2003,XBOX,,6.66,3
Chaos Legion,Chaos Legion,3/9/2003,PS2,6.3,6.7,80
Shining Soul,Shining Soul,7/3/2003,GBA,6.2,5.78,37
Dragon Ball Z: Budokai,Dragon Ball Z: Budokai,29/11/2002,GCN,6,7.1,80
Onimusha Tactics,Onimusha Tactics,Noviembre 2003,GBA,6,6.57,10
Unlimited Saga,Unlimited Saga,7/11/2003,PS2,5.9,5.21,32
Resident Evil 2,Resident Evil 2,Año 1998,GCN,5.5,7.61,187
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,16/4/2004,GBA,5.5,8,1
RTX Red Rock,RTX Red Rock,5/9/2003,PS2,5,5.6,6
F.C. Barcelona: Club Football,F.C. Barcelona: Club Football,10/10/2003,PS2,5,5,17
F.C. Barcelona: Club Football,F.C. Barcelona: Club Football,10/10/2003,XBOX,,-,Sin
Real Madrid C.F.: Club Football,Real Madrid C.F.: Club Football,10/10/2003,PS2,5,3.05,16
Real Madrid C.F.: Club Football,Real Madrid C.F.: Club Football,10/10/2003,XBOX,,3.8,13
Resident Evil 3: Nemesis,Resident Evil 3: Nemesis,Noviembre 1999,GCN,4.8,7.12,143
Dino Crisis 3,Dino Crisis 3,7/11/2003,XBOX,4.5,5.64,42
El Hobbit,The Hobbit,28/11/2003,XBOX,,7.5,4
Looney Tunes: De Nuevo en Acción,Looney Tunes Back in Action,21/11/2003,PS2,4.5,6.66,3
Looney Tunes: De Nuevo en Acción,Looney Tunes Back in Action,21/11/2003,GCN,,-,Sin
El Hobbit,The Hobbit,28/11/2003,PS2,4.5,6.21,12
El Hobbit,The Hobbit,28/11/2003,GCN,,6.19,27
El Hobbit,The Hobbit,28/11/2003,GBA,3.5,4.25,6
Mission: Impossible: Operation Surma,Mission: Impossible: Operation Surma,4/12/2003,GBA,3,-,Sin
Enter the Matrix,Enter the Matrix,15/5/2003,XBOX,-,5.67,79
Enter the Matrix,Enter the Matrix,15/5/2003,GCN,,5.96,103
Enter the Matrix,Enter the Matrix,15/5/2003,PS2,-,6.19,125
Eye Toy: Play,Eye Toy: Play,9/7/2003,PS2,-,6.93,107
Grand Theft Auto: San Andreas,GTA San Andreas,29/10/2004,PS2,9.9,9.03,772
Burnout 3 Takedown,Burnout 3 Takedown,16/9/2004,PS2,9.8,8.85,167
Burnout 3 Takedown,Burnout 3 Takedown,16/9/2004,XBOX,,8.88,83
The Legend of Zelda: The Minish Cap,The Legend of Zelda: The Minish Cap,12/11/2004,GBA,9.8,8.59,259
Half-Life 2,Half-Life 2,16/11/2004,PC,9.7,9.1,383
Crusader Kings,Crusader Kings,14/6/2004,PC,9.6,8.06,5
Fire Emblem,Fire Emblem,16/7/2004,GBA,9.6,8.8,167
Halo 2,Halo 2,11/11/2004,XBOX,9.6,8.85,321
Far Cry,Far Cry,26/3/2004,PC,9.5,8.65,134
Metroid: Zero Mission,Metroid: Zero Mission,8/4/2004,GBA,9.5,8.58,152
Winning Eleven 8,Winning Eleven 8,5/8/2004,PS2,9.5,8.54,95
Rome: Total War,Rome: Total War,8/10/2004,PC,9.5,8.61,62
Metroid Prime 2: Echoes,Metroid Prime 2: Echoes,26/11/2004,GCN,9.5,8.59,297
Pro Evolution Soccer 4,Pro Evolution Soccer 4,15/10/2004,XBOX,9.5,8.61,57
Ninja Gaiden,Ninja Gaiden,21/5/2004,XBOX,9.4,9.05,220
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,Noviembre 2003,GCN,9.3,8.35,90
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,Noviembre 2003,XBOX,,8.67,46
Kirby: El Laberinto de los Espejos,Kirby & the Amazing Mirror,7/7/2004,GBA,9.3,8.06,42
Pikmin 2,Pikmin 2,15/10/2004,GCN,9.3,8.64,130
Fable,Project Ego,22/10/2004,XBOX,9.3,8.64,196
Mario Vs. Donkey Kong,Mario Vs. Donkey Kong,19/11/2004,GBA,9.3,7.94,45
Beyond Good & Evil,Project BG&E,27/2/2004,GCN,9.2,8.52,103
Beyond Good & Evil,Project BG&E,27/2/2004,XBOX,,8.55,32
Sword of Mana,Secret of Mana,18/3/2004,GBA,9.2,7.39,80
Harvest Moon: Friends of Mineral Town,Harvest Moon: Friends of Mineral Town,19/3/2004,GBA,9.2,7.2,7
Splinter Cell: Pandora Tomorrow,Tom Clancy's Splinter Cell: Pandora Tomorrow,26/3/2004,XBOX,,8.35,67
Splinter Cell: Pandora Tomorrow,Tom Clancy's Splinter Cell: Pandora Tomorrow,26/3/2004,PC,9.2,8.26,21
Toca Race Driver 2: The Ultimate Racing Simulator,Toca Race Driver 2: The Ultimate Racing Simulator,11/10/2004,XBOX,9.2,8.44,68
The Chronicles of Riddick,The Chronicles of Riddick,13/8/2004,XBOX,9.2,8.71,94
Pro Evolution Soccer 4,Pro Evolution Soccer 4,15/10/2004,PS2,9.2,8.53,191
Sly 2: Ladrones de Guante Blanco,Sly Raccoon: Band of Thieves,27/10/2004,PS2,9.2,7.97,38
Paper Mario: La Puerta Milenaria,Paper Mario 2,12/11/2004,GCN,9.2,8.9,215
Sid Meier's Pirates!,Sid Meier's Pirates!,10/12/2004,PC,9.2,6.93,12
Sonic Advance 3,Sonic Advance 3,21/6/2004,GBA,9.1,8.74,43
Colin McRae Rally 2005,Colin McRae Rally 2005,27/9/2004,XBOX,9.1,7.5,3
Grand Theft Auto 3,GTA 3,16/1/2004,XBOX,9,8.13,54
Grand Theft Auto: Vice City,GTA Vice City,16/1/2004,XBOX,9,8.32,93
Puyo Pop Fever,Puyo Puyo Fever,5/3/2004,XBOX,,8.64,5
Puyo Pop Fever,Puyo Puyo Fever,5/3/2004,PS2,9,7.64,14
Puyo Pop Fever,Puyo Puyo Fever,5/3/2004,GCN,,8.06,33
Sabrewulf,Sabrewulf,15/3/2004,GBA,9,8.02,10
Harvest Moon: A Wonderful Life,Harvest Moon: A Wonderful Life,Año 2005,GCN,9,8.28,52
Splinter Cell: Pandora Tomorrow,Tom Clancy's Splinter Cell: Pandora Tomorrow,26/3/2004,GBA,9,7.39,11
Unreal Tournament 2004,Unreal Tournament 2004,Marzo 2004,PC,9,8.54,45
Rallisport Challenge 2,Rallisport Challenge 2,7/5/2004,XBOX,9,9.16,67
Disgaea: The Hour Of Darkness,Disgaea DS,3/4/2009,PS2,9,8.25,66
Donkey Kong Country 2 CV,Donkey Kong Country 2 CV,18/5/2007,GBA,9,8.55,29
Ground Control 2,Ground Control 2,25/6/2004,PC,9,7.41,4
Formula One 2004,Formula One 2004,21/7/2004,PS2,9,6.58,43
Mario Golf Advance Tour,Mario Golf Advance Tour,17/9/2004,GBA,9,7.46,9
Animal Crossing,Animal Crossing,24/9/2004,GCN,9,8.04,244
Análisis,Análisis,24/9/2004,PC,9,-,Sin
Warhammer 40.000: Dawn of War,Warhammer 40000 Dawn of War,27/9/2004,PC,9,8.67,48
Star Ocean 3,Star Ocean 3,30/9/2004,PS2,9,8.12,103
Call of Duty : La Gran Ofensiva,Call of Duty: United Offensive,8/10/2004,PC,9,8.14,38
FIFA Football 2005,FIFA Football 2005,8/10/2004,PS2,9,7.29,70
FIFA Football 2005,FIFA Football 2005,8/10/2004,GCN,,7.42,39
FIFA Football 2005,FIFA Football 2005,8/10/2004,XBOX,,7.05,40
Outrun 2,Outrun 2,11/10/2004,XBOX,9,8.37,54
FIFA Football 2005,FIFA Football 2005,8/10/2004,PC,,7.03,24
Viewtiful Joe,Viewtiful Joe,1/11/2003,PS2,9,7.73,48
EyeToy: Play 2,Eye Toy Play 2,Noviembre 2004,PS2,9,6.91,10
Jak 3,Jak 3,1/12/2004,PS2,9,8.37,125
