,Title,total_ship,Platform,Date,Genre
35, Fitness Boxing 2: Rhythm & Exercise,1.00m,NS,04th Dec 20  ,Sports
36, Tony Hawk's Pro Skater 1 + 2,1.00m,All,04th Sep 20  ,Sports
37, NBA 2K18,0.54m,PC,19th Sep 17  ,Sports
38, Captain Tsubasa: Rise of New Champions,0.50m,All,28th Aug 20  ,Sports
39, Championship Manager Season 01/02,0.50m,PC,31st Dec 20  ,Sports
40, Tennis World Tour,0.50m,All,22nd May 18  ,Sports
41, Animal Crossing: New Horizons,37.62m,NS,20th Mar 20  ,Simulation
42, Slime Rancher,5.00m,All,01st Aug 17  ,Simulation
43, The Long Dark,5.00m,All,01st Aug 17  ,Simulation
44, Ace Combat 7: Skies Unknown,3.00m,All,18th Jan 19  ,Simulation
45, Farming Simulator 22,3.00m,All,22nd Nov 21  ,Simulation
46, Jurassic World Evolution,3.00m,All,12th Jun 18  ,Simulation
47, Space Engineers,3.00m,PC,28th Feb 19  ,Simulation
48, New Pokémon Snap,2.36m,NS,30th Apr 21  ,Simulation
49, Farming Simulator 19,2.00m,All,19th Nov 18  ,Simulation
50, Football Manager 2019,2.00m,All,02nd Nov 18  ,Simulation
51, The Long Dark,1.88m,PC,01st Aug 17  ,Simulation
52, Satisfactory,1.33m,PC,18th Mar 19  ,Simulation
53, Slime Rancher,1.22m,PC,01st Aug 17  ,Simulation
54, Football Manager 2021,1.00m,All,24th Nov 20  ,Simulation
55, Microsoft Flight Simulator (2020),1.00m,PC,18th Aug 20  ,Simulation
56, My Time At Portia,1.00m,PC,15th Jan 19  ,Simulation
57, Planet Zoo,1.00m,PC,05th Nov 19  ,Simulation
58, SnowRunner,1.00m,All,28th Apr 20  ,Simulation
59, Spintires: MudRunner,1.00m,All,31st Oct 17  ,Simulation
60, Spiritfarer,1.00m,All,18th Aug 20  ,Simulation
61, Story of Seasons: Pioneers of Olive Town,1.00m,All,15th Sep 21  ,Simulation
62, Untitled Goose Game,1.00m,All,20th Sep 19  ,Simulation
63, Football Manager 2018,0.96m,PC,10th Nov 17  ,Simulation
64, Fishing Spirits,0.50m,NS,25th Jul 19  ,Simulation
65, Jurassic World Evolution,0.48m,PC,03rd Jul 18  ,Simulation
66, Spintires: MudRunner,0.32m,PC,31st Oct 17  ,Simulation
67, Bomber Crew,0.18m,PC,19th Oct 17  ,Simulation
68, Going Medieval,0.18m,PC,01st Jun 21  ,Simulation
69, Bus Simulator 16,0.15m,PC,24th May 17  ,Simulation
70, Startup Company,0.13m,PC,11th Aug 17  ,Simulation
71, Super Seducer,0.13m,Series,06th Mar 18  ,Simulation
72, Emily is Away Too,0.12m,PC,26th May 17  ,Simulation
73, Farm Together,0.11m,PC,11th Oct 18  ,Simulation
74, Staxel,0.11m,PC,23rd Jan 18  ,Simulation
75," Cook, Serve, Delicious! 2!!",0.11m,PC,14th Sep 17  ,Simulation
76, SimAirport,0.11m,PC,07th Mar 17  ,Simulation
77, Monster Prom,0.10m,PC,27th Apr 18  ,Simulation
78, Everything,0.10m,PC,21st Apr 17  ,Simulation
79, Potion Craft: The Alchemist Simulator,0.10m,PC,21st Sep 21  ,Simulation
80, Winning Post 9 2021,0.08m,All,15th Apr 21  ,Simulation
81, PlayerUnknown's Battlegrounds,70.00m,All,17th Dec 17  ,Shooter
82, PUBG,70.00m,Series,20th Dec 17  ,Shooter
83, PLAYERUNKNOWN'S BATTLEGROUNDS,36.60m,PC,21st Dec 17  ,Shooter
84, Call of Duty: Modern Warfare,30.00m,All,25th Oct 19  ,Shooter
85, Borderlands 3,15.00m,All,13th Sep 19  ,Shooter
86, Splatoon 2,12.68m,NS,21st Jul 17  ,Shooter
87, Far Cry 5,10.00m,All,27th Mar 18  ,Shooter
88, Tom Clancy's Ghost Recon Wildlands,10.00m,All,07th Mar 17  ,Shooter
89, Tom Clancy's The Division 2,10.00m,All,15th Mar 19  ,Shooter
90, Star Wars Battlefront II (2017),9.00m,All,17th Nov 17  ,Shooter
91, Battlefield V,7.30m,All,20th Nov 18  ,Shooter
92, Metro Exodus,6.00m,All,15th Feb 19  ,Shooter
93, Deep Rock Galactic,3.00m,All,13th May 20  ,Shooter
94, World War Z,3.00m,All,16th Apr 19  ,Shooter
95, Prey (2017),1.50m,All,05th May 17  ,Shooter
96, Remnant: From the Ashes,1.00m,All,20th Aug 19  ,Shooter
97, Sniper: Ghost Warrior 3,1.00m,All,25th Apr 17  ,Shooter
98, Sniper: Ghost Warrior Contracts,1.00m,All,22nd Nov 19  ,Shooter
99, theHunter: Call of the Wild,0.82m,PC,07th Mar 17  ,Shooter
100, Prey (2017),0.70m,PC,05th May 17  ,Shooter
101, Returnal,0.56m,PS5,30th Apr 21  ,Shooter
102, Wolfenstein II: The New Colossus,0.55m,PC,27th Oct 17  ,Shooter
103, Insurgency: Sandstorm,0.50m,PC,12th Dec 18  ,Shooter
104, My Friend Pedro,0.50m,All,20th Jun 19  ,Shooter
105, Earth Defense Force 5,0.30m,PS4,11th Dec 18  ,Shooter
106, Battle Royale Trainer,0.26m,PC,04th Jan 18  ,Shooter
107, World War Z,0.25m,PC,16th Apr 19  ,Shooter
108, Sniper: Ghost Warrior 3,0.23m,PC,25th Apr 17  ,Shooter
109, Azur Lane: Crosswave,0.20m,All,13th Feb 20  ,Shooter
110, Metro Exodus,0.20m,PC,15th Feb 19  ,Shooter
111, Call of Duty: Modern Warfare Remastered,0.19m,PC,01st Jan 18  ,Shooter
112, SUPERHOT VR,0.16m,PC,25th May 17  ,Shooter
113, Vanquish,0.14m,PC,25th May 17  ,Shooter
114, Omega One,0.13m,PC,01st Feb 17  ,Shooter
115, Brother Wings,0.12m,PC,11th Jan 17  ,Shooter
116, AXYOS,0.10m,PC,01st Aug 18  ,Shooter
117, World War 3,0.10m,PC,20th Oct 18  ,Shooter
