Name,Main story duration,Duration hrs
Shrek: Ogres & Dronkeys,--,
Shrek: Reekin' Havoc,2.5 Hours,2.5
Shrek: Fairy Tale Freakdown,44 Mins,0.7333333333333333
Shrek Smash n' Crash Racing,1 Hours,1.0
Shrek Extra Large,7 Hours,7.0
The Fairly OddParents: Shadow Showdown,7 Hours,7.0
The Tale of Despereaux,4 Hours,4.0
Rugrats: Royal Ransom,5 Hours,5.0
The Wild Thornberrys Movie,1 Hours,1.0
Classic NES Series: Ice Climber,2.5 Hours,2.5
Klonoa 2: Lunatea's Veil,7.5 Hours,7.5
Pitfall 3D: Beyond the Jungle,5 Hours,5.0
Spy Kids 3-D: Game Over,1.5 Hours,1.5
Ben 10 Ultimate Alien: Cosmic Destruction,7 Hours,7.0
Chibi-Robo! Zip Lash,11.5 Hours,11.5
Heart of Darkness,5 Hours,5.0
Victoria II: Heart of Darkness,38 Hours,38.0
Little Deviants,3 Hours,3.0
Goemon's Great Adventure,11 Hours,11.0
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,3.5 Hours,3.5
40 Winks,7.5 Hours,7.5
Disney's The Emperor's New Groove,6 Hours,6.0
Spyro: Attack of the Rhynocs,6.5 Hours,6.5
Jumping Flash!,1.5 Hours,1.5
Jumping Flash! 2,1.5 Hours,1.5
Spirit: Stallion of the Cimarron,--,
Yooka-Laylee,15 Hours,15.0
Yooka-Laylee - Toybox,55 Mins,0.9166666666666666
Sonic Boom: Shattered Crystal,8.5 Hours,8.5
Tomba! 2: The Evil Swine Return,10 Hours,10.0
Earthworm Jim,3.5 Hours,3.5
Earthworm Jim 2,3 Hours,3.0
Earthworm Jim 3D,9.5 Hours,9.5
Earthworm Jim HD,2.5 Hours,2.5
Earthworm Jim: Menace 2 the Galaxy,--,
Tigger's Honey Hunt,2 Hours,2.0
Haven: Call of the King,9 Hours,9.0
Mega Man: Dr. Wily's Revenge,2 Hours,2.0
Mega Man II (Game Boy),1 Hours,1.0
Mega Man III (Game Boy),2.5 Hours,2.5
Pitfall: The Mayan Adventure,4.5 Hours,4.5
Tom and Jerry Tales,3 Hours,3.0
Despicable Me: The Game,--,
Despicable Me: The Game - Minion Mayhem,--,
Puppeteer,10 Hours,10.0
Shadow Puppeteer,3.5 Hours,3.5
Art of Murder: Hunt for the Puppeteer,7 Hours,7.0
Midnight Puppeteer,--,
Forgotten Hill: Puppeteer,23 Mins,0.38333333333333336
Tomba!,7.5 Hours,7.5
Hey Arnold!: The Movie,2 Hours,2.0
Sonic Boom: Fire & Ice,4.5 Hours,4.5
Billy Hatcher and the Giant Egg,8 Hours,8.0
Dood's Big Adventure,--,
Teenage Mutant Ninja Turtles: Danger of the Ooze,5.5 Hours,5.5
Vexx,13 Hours,13.0
Wallace & Gromit in Project Zoo,7 Hours,7.0
Mega Man & Bass,5.5 Hours,5.5
Mega Man & Bass: Challenger from the Future,2 Hours,2.0
Jersey Devil,10 Hours,10.0
Naruto: Ninja Council,2.5 Hours,2.5
Naruto: Ninja Council 2,2 Hours,2.0
Naruto: Ninja Council 2 European Version,2.5 Hours,2.5
Samurai Jack: The Amulet of Time,2 Hours,2.0
Super Lucky's Tale,6 Hours,6.0
New Super Lucky's Tale,6.5 Hours,6.5
Super Lucky's Tale - Gilly Island DLC,--,
Super Lucky's Tale - Guardian Trials DLC,--,
A Boy and His Blob,10 Hours,10.0
A Boy and His Blob: Trouble on Blobolonia,57 Mins,0.95
Maximo vs. Army of Zin,9 Hours,9.0
The Land Before Time: Big Water Adventure,2 Hours,2.0
Disney's Tarzan,5.5 Hours,5.5
Death Jr.,4.5 Hours,4.5
Death Jr. and the Science Fair of Doom,--,
Death Jr. II: Root of Evil,6.5 Hours,6.5
Crash & Spyro Superpack,10.5 Hours,10.5
Bubsy 3D,6 Hours,6.0
Bubsy 3D: Bubsy Visits The James Turrell Retrospective,1 Hours,1.0
PlayStation Move Heroes,6.5 Hours,6.5
Klonoa: Door to Phantomile,4 Hours,4.0
Open Season,3.5 Hours,3.5
Police Quest: Open Season,6 Hours,6.0
Tak: The Great Juju Challenge,3.5 Hours,3.5
Mega Man Network Transmission,8 Hours,8.0
Taz: Wanted,8.5 Hours,8.5
Putty Squad,2 Hours,2.0
Dr. Muto,14 Hours,14.0
Dewy's Adventure,6 Hours,6.0
Flushed Away,4 Hours,4.0
Klonoa,5 Hours,5.0
Klonoa: Empire of Dreams,6 Hours,6.0
Klonoa 2: Dream Champ Tournament,7.5 Hours,7.5
Klonoa Heroes: Densetsu no Star Medal,11 Hours,11.0
Klonoa Beach Volleyball,56 Mins,0.9333333333333333
Klonoa: Moonlight Museum,5 Hours,5.0
Cave Story+,6.5 Hours,6.5
Super Monkey Ball Adventure,--,
Disney's Donald Duck: Goin' Quackers,2 Hours,2.0
Cave Story 3D,6 Hours,6.0
Mega Man Powered Up,3.5 Hours,3.5
Shovel Knight,6.5 Hours,6.5
Shovel Knight: King of Cards,7 Hours,7.0
Shovel Knight: Plague of Shadows,6 Hours,6.0
Shovel Knight: Specter of Torment,4.5 Hours,4.5
Shovel Knight Pocket Dungeon,4.5 Hours,4.5
Shovel Knight Showdown,1 Hours,1.0
!Shin Chan: Flipa en Colores!,5.5 Hours,5.5
The Bombing Islands,--,
Moshi Monsters: Katsuma Unleashed,3 Hours,3.0
Barbie Explorer,--,
Bit.Trip Saga,8 Hours,8.0
Rockman & Forte,5.5 Hours,5.5
Rockman & Forte Mirai kara no Chōsensha,--,
Disney's Cinderella: Magical Dreams,1 Hours,1.0
Castlevania Chronicles,3.5 Hours,3.5
Castlevania: The Lecarde Chronicles,--,
Castlevania: The Lecarde Chronicles 2,--,
Bratz,--,
Bratz Babyz,59 Mins,0.9833333333333333
Disney's Kim Possible: Kimmunicator,2.5 Hours,2.5
Castlevania: Legacy of Darkness,7.5 Hours,7.5
Mega Man IV (Game Boy),2.5 Hours,2.5
Whiplash,--,
Fatal Racing,--,
Spider-Man: Battle for New York,3 Hours,3.0
PAW Patrol: On a Roll,5 Hours,5.0
Portal Runner,5.5 Hours,5.5
Skullmonkeys,4 Hours,4.0
Sonic Jam,30 Mins,0.5
Impossible Mission,3 Hours,3.0
Impossible Mission II,47 Mins,0.7833333333333333
Disney's PK: Out of the Shadows,3 Hours,3.0
Shantae: Half-Genie Hero,6.5 Hours,6.5
Shantae: Half-Genie Hero - Ultimate Edition,7.5 Hours,7.5
Shantae: Half-Genie Hero - Friends To The End,2 Hours,2.0
Shantae: Half-Genie Hero - Pirate Queen's Quest,3 Hours,3.0
Shantae: Half-Genie Hero - Costume Pack,4 Hours,4.0
Voodoo Vince,8 Hours,8.0
Looney Tunes: Sheep Raider,8.5 Hours,8.5
Rocket: Robot on Wheels,8 Hours,8.0
Space Chimps,1.5 Hours,1.5
Akuji the Heartless,5.5 Hours,5.5
Psychonauts,12 Hours,12.0
Psychonauts 2,14.5 Hours,14.5
Psychonauts in the Rhombus of Ruin,2 Hours,2.0
Lost in Shadow / A Shadow's Tale,12 Hours,12.0
Turok: Evolution,8 Hours,8.0
Pac 'n Roll,4 Hours,4.0
Garfield's Fun Fest,--,
Mighty No. 9,5 Hours,5.0
Chameleon Twist,2.5 Hours,2.5
Chameleon Twist 2,2.5 Hours,2.5
Tonic Trouble,6.5 Hours,6.5
"Prinny 2: Dawn of Operation Panties, Dood!",11 Hours,11.0
Prinny: Can I Really Be the Hero?,7.5 Hours,7.5
Lady Sia,5.5 Hours,5.5
Little Big Workshop,19.5 Hours,19.5
Recettear: An Item Shop's Tale,13 Hours,13.0
The Dark Pictures: Little Hope,5 Hours,5.0
Star Ocean: The Last Hope,46.5 Hours,46.5
Holy Potatoes! A Weapon Shop?!,11.5 Hours,11.5
Pandemonium,7.5 Hours,7.5
Morphopolis,1.5 Hours,1.5
Shoppe Keep,16 Hours,16.0
Shoppe Keep 2,--,
Millennium: A New Hope,8.5 Hours,8.5
The Desolate Hope,7.5 Hours,7.5
HoPiKo,5 Hours,5.0
Soulless: Ray Of Hope,2 Hours,2.0
Shop Titans,--,
Serious Sam VR: The Last Hope,2 Hours,2.0
Harvest Moon: Light of Hope,17.5 Hours,17.5
Pac-Man and the Ghostly Adventures 2,9 Hours,9.0
WireWay,--,
Disney's The Jungle Book,3 Hours,3.0
Walt Disney's The Jungle Book: Mowgli's Wild Adventure,--,
Cubic Ninja,4 Hours,4.0
Piglet's Big Game,3.5 Hours,3.5
Shantae and the Pirate's Curse,8 Hours,8.0
Pac-Man and the Ghostly Adventures,6.5 Hours,6.5
Galactic Taz Ball,6 Hours,6.0
Scaler,7.5 Hours,7.5
Castlevania: Dracula X,3 Hours,3.0
Clockwork Knight,1 Hours,1.0
Clockwork Knight 2,2 Hours,2.0
El Tigre: The Adventures of Manny Rivera,1.5 Hours,1.5
Strider 2,43 Mins,0.7166666666666667
Pinobee: Wings of Adventure,1 Hours,1.0
Skeleton Warriors,2.5 Hours,2.5
Stuart Little 3: Big Photo Adventure,4.5 Hours,4.5
Futurama,7.5 Hours,7.5
Futurama: Game of Drones,200 Hours,200.0
Futurama: Worlds of Tomorrow,--,
Spot Goes To Hollywood,3 Hours,3.0
Poi,6 Hours,6.0
Two Point Hospital,41 Hours,41.0
Gunpoint,3 Hours,3.0
F.E.A.R. Extraction Point,4.5 Hours,4.5
Hellpoint,15.5 Hours,15.5
Operation Flashpoint: Red River,12 Hours,12.0
Operation Flashpoint: Dragon Rising,12 Hours,12.0
Tom Clancy's Ghost Recon Breakpoint,22 Hours,22.0
Starpoint Gemini 2,34.5 Hours,34.5
Floating Point,2.5 Hours,2.5
Farpoint,5 Hours,5.0
Spoiler Alert,40 Mins,0.6666666666666666
Agatha Christie - Hercule Poirot: The First Cases,9 Hours,9.0
Sound of Drop: Fall Into Poison,3.5 Hours,3.5
Ballpoint Universe: Infinite,4 Hours,4.0
Burnout 2: Point of Impact,12 Hours,12.0
Phoenix Point: Year One Edition,23 Hours,23.0
Phoenix Point,36.5 Hours,36.5
DuckTales: Remastered,3.5 Hours,3.5
Anubis II,2 Hours,2.0
N+,15 Hours,15.0
N++,27 Hours,27.0
Jamestown: Legend of the Lost Colony,2.5 Hours,2.5
Knightin'+,3 Hours,3.0
bit Dungeon+,1.5 Hours,1.5
Mute Crimson+,6 Hours,6.0
Pandemonium 2,7 Hours,7.0
Quake Mission Pack: Abyss Of Pandemonium,5 Hours,5.0
Monster Tale,7 Hours,7.0
Quest 64,11.5 Hours,11.5
Attack of the Friday Monsters! A Tokyo Tale,3 Hours,3.0
Jesus: Tale of the Dreadful Bio-Monster,2 Hours,2.0
Void Monsters: Spring City Tales,--,
Tokobot,8 Hours,8.0
Tokobot Plus: Mysteries of the Karakuri,9 Hours,9.0
Johnny Test,--,
Lego Bionicle,3 Hours,3.0
Disney's Kim Possible: Global Gemini,6 Hours,6.0
SpongeBob SquarePants: Plankton's Robotic Revenge,2.5 Hours,2.5
Pop'n TwinBee: Rainbow Bell Adventures,4.5 Hours,4.5
Flip's Twisted World,--,
Burning Rangers,2.5 Hours,2.5
The End Is Nigh,8 Hours,8.0
Pucca Power Up,--,
Walt Disney Pictures Presents Enchanted: Once Upon Andalasia,--,
Owlboy,8 Hours,8.0
Sitting Ducks,2 Hours,2.0
Drill Dozer,5.5 Hours,5.5
Dynamite Headdy,3 Hours,3.0
Bubsy: The Woolies Strike Back,1.5 Hours,1.5
Max & the Magic Marker,2.5 Hours,2.5
Blues Brothers 2000,--,
Stretch Panic,4.5 Hours,4.5
George of the Jungle and the Search for the Secret,--,
Woody Woodpecker: Escape from Buzz Buzzard Park,10 Hours,10.0
Johnny Bazookatone,--,
Silhouette Mirage,3.5 Hours,3.5
Gem Smashers,4 Hours,4.0
Berenstain Bears and the Spooky Old Tree,1 Hours,1.0
Trine 2: Director's Cut,9 Hours,9.0
Justice League: Chronicles,--,
Go Go Ackman 3,--,
The Kore Gang,6 Hours,6.0
Wondership Q,--,
Superman: Countdown to Apokolips,--,
Garfield: The Search for Pooky,5.5 Hours,5.5
Trine 2,8.5 Hours,8.5
Trine 2: Complete Story,9 Hours,9.0
Trine 2: Goblin Menace DLC,3 Hours,3.0
Sabre Wulf,47 Mins,0.7833333333333333
Salt and Sanctuary,16 Hours,16.0
An American Tail: Fievel's Gold Rush,3 Hours,3.0
Sayonara Umihara Kawase,1.5 Hours,1.5
The Peanuts Movie: Snoopy's Grand Adventure,--,
Flashback,6 Hours,6.0
Jagged Alliance: Flashback,28 Hours,28.0
Berzerk Flashback,--,
Super Mario Flashback,19 Mins,0.31666666666666665
The Flintstones: Big Trouble In Bedrock,1.5 Hours,1.5
Tork: Prehistoric Punk,14 Hours,14.0
Totally Spies!,2 Hours,2.0
Starshot: Space Circus Fever,9 Hours,9.0
Animaniacs: The Great Edgar Hunt,--,
Braid,5 Hours,5.0
CID The Dummy,--,
The Adventures of Lomax,4 Hours,4.0
Hermie Hopperhead: Scrap Panic,--,
Marker Man Adventures,--,
Rock 'n' Roll Adventures,--,
Rad Rodgers,4 Hours,4.0
Rad Rodgers: World One,3 Hours,3.0
Blender Bros.,3 Hours,3.0
Steal Princess,--,
The Liar Princess and the Blind Prince,4.5 Hours,4.5
KAO Challengers,4.5 Hours,4.5
Prehistorik Man,2.5 Hours,2.5
Ruff Trigger: The Vanocore Conspiracy,6.5 Hours,6.5
Malice,5.5 Hours,5.5
Manna for our Malices,--,
Malice for Quake,--,
Runner3,5 Hours,5.0
Rainbow Islands Revolution,--,
SteamWorld Dig 2,7 Hours,7.0
Garfield's Nightmare,5 Hours,5.0
Spirits & Spells,7 Hours,7.0
Runbow,3 Hours,3.0
Runbow Pocket,3.5 Hours,3.5
Runbow: Satura's Space Adventure,1 Hours,1.0
Cookie & Cream,--,
The Adventures of Cookie & Cream,5 Hours,5.0
Shorts,--,
Octodad: Dadliest Catch - Shorts: Dad Romance,22 Mins,0.36666666666666664
Octodad: Dadliest Catch - Shorts: Medical Mess,26 Mins,0.43333333333333335
Mikey Shorts,--,
Candle: The Power of the Flame,8 Hours,8.0
Trine,6 Hours,6.0
Trine 4: The Nightmare Prince,10 Hours,10.0
Phantom Doctrine,30 Hours,30.0
Trine 3: The Artifacts of Power,5 Hours,5.0
Trine: Enchanted Edition,4.5 Hours,4.5
Natural Doctrine,41 Hours,41.0
Trine 4: Melody of Mystery,4.5 Hours,4.5
Trine: Ultimate Collection,--,
Trinea,--,
Land Doctrine,--,
Panzer Doctrine,--,
Woody Woodpecker in Crazy Castle 5,--,
Giana Sisters: Twisted Dreams,7.5 Hours,7.5
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,2 Hours,2.0
Giana Sisters: Twisted Dreams - Owltimate Edition,10.5 Hours,10.5
Giana Sisters: Twisted Dreams - Director's Cut,9.5 Hours,9.5
Ori and the Blind Forest: Definitive Edition,8.5 Hours,8.5
Teslagrad,5 Hours,5.0
Kid Klown in Crazy Chase,56 Mins,0.9333333333333333
Aero the Acro-Bat,4 Hours,4.0
Aero the Acro-Bat 2,4.5 Hours,4.5
Dark,7 Hours,7.0
Dark Souls: Prepare to Die Edition,46 Hours,46.0
The Darkness II,6 Hours,6.0
Dragon's Dogma: Dark Arisen,35 Hours,35.0
The Long Dark,20 Hours,20.0
Darkwood,17 Hours,17.0
Dark Souls,42.5 Hours,42.5
Dark Souls II,44 Hours,44.0
Star Wars: Dark Forces,9 Hours,9.0
Mr. Bean,4 Hours,4.0
Phil of the Future,4.5 Hours,4.5
M.C. Kids,1 Hours,1.0
Pink Panther: Pinkadelic Pursuit,4.5 Hours,4.5
Limbo,3.5 Hours,3.5
Touhou Shinhiroku: Urban Legend in Limbo,--,
Limbo of the Lost,--,
Depths of Limbo,--,
Isles of Limbo,15 Mins,0.25
Exit Limbo: Opening,2 Hours,2.0
Cosmic Courier: Trapped in Limbo,20 Mins,0.3333333333333333
The Bookshelf Limbo,15 Mins,0.25
Flimbo's Quest,--,
New Zealand Story Revolution,--,
Strawberry Shortcake: The Four Seasons Cake,--,
"Animaniacs: Lights, Camera, Action!",--,
Heracles: Battle with the Gods,--,
Go! Go! Cosmo Cops!,--,
Soccer Kid,2 Hours,2.0
"Ed, Edd n Eddy: Scam Of The Century",--,
Giana Sisters DS,3 Hours,3.0
Tetris,--,
Tetris Effect: Connected,3 Hours,3.0
Puyo Puyo Tetris,8 Hours,8.0
Tetris Effect,2.5 Hours,2.5
Puyo Puyo Tetris 2,9 Hours,9.0
Tetris Attack,3 Hours,3.0
Tetris DS,15 Hours,15.0
Tetris Worlds,9 Hours,9.0
Tetris: Axis,50 Mins,0.8333333333333334
Tetris 2,1 Hours,1.0
Tetrisphere,3 Hours,3.0
Tetris Evolution,1.5 Hours,1.5
Tetris Splash,--,
Magical Tetris Challenge,1.5 Hours,1.5
Tetris Party,3 Hours,3.0
Tetris Blast,3 Hours,3.0
Pac-Man Championship Edition 2,4.5 Hours,4.5
Pac-Man Championship Edition DX,4 Hours,4.0
Ms. Pac-Man,1 Hours,1.0
PAC-MAN 99,3 Hours,3.0
Ms. Pac-Man Maze Madness,6 Hours,6.0
Pac-Man: Adventures in Time,--,
Pac-Man Championship Edition,2 Hours,2.0
Pac-Man Arrangement,33 Mins,0.55
Pac-Man 2: The New Adventures,2 Hours,2.0
Pac-Mania,1.5 Hours,1.5
Pac-Man Collection,15 Hours,15.0
Dr. Mario,2.5 Hours,2.5
Dr. Mario 64,2 Hours,2.0
Dr. Mario Online Rx,45 Mins,0.75
Dr. Mario World,9.5 Hours,9.5
Dr. Mario Express,3 Hours,3.0
Dr. Mario & Puzzle League,8 Hours,8.0
Dr. Mario: Miracle Cure,3 Hours,3.0
Yoshi's Crafted World,8 Hours,8.0
Yoshi's Cookie,2.5 Hours,2.5
Yoshi's Safari,1.5 Hours,1.5
The Men of Yoshiwara: Kikuya,7 Hours,7.0
The Men of Yoshiwara: Ohgiya,2.5 Hours,2.5
Panic in Nakayoshi World,3.5 Hours,3.5
Bakushou Yoshimoto Shingeki,40 Mins,0.6666666666666666
Straight Victory: Hoshino Kazuyoshi e no Chousen,--,
WarioWare: Smooth Moves,2.5 Hours,2.5
Tetris Plus,6.5 Hours,6.5
WarioWare: Touched!,2 Hours,2.0
Scribblenauts,8 Hours,8.0
Scribblenauts Unlimited,7 Hours,7.0
Scribblenauts Unmasked: A DC Comics Adventure,6.5 Hours,6.5
Super Scribblenauts,7.5 Hours,7.5
Scribblenauts Showdown,4 Hours,4.0
Scribblenauts Remix,2.5 Hours,2.5
TouchMaster,--,
TouchMaster 3,--,
TouchMaster 2,--,
Alleyway,2.5 Hours,2.5
Tetris DX,29 Mins,0.48333333333333334
Professor Layton and the Miracle Mask,18 Hours,18.0
Puyo Puyo,59 Mins,0.9833333333333333
Super Puyo Puyo 2,2 Hours,2.0
Super Nazo Puyo: Rulue no Roux,--,
Super Puyo Puyo Tsuu Remix,--,
Super Puyo Puyo Tsuu,1.5 Hours,1.5
Dig Dug,54 Mins,0.9
Dig Dug Arrangement,--,
Dig Dug II,1 Hours,1.0
Dig Dug: Digging Strike,--,
Super Monkey Ball 2,5 Hours,5.0
Super Monkey Ball: Sakura Edition,--,
Puzzle & Dragons,--,
Puzzle & Dragons GOLD,1 Hours,1.0
Puzzle & Dragons Z,37 Hours,37.0
Puzzle & Dragons X,--,
Super Monkey Ball,4 Hours,4.0
Super Monkey Ball: Banana Mania,6.5 Hours,6.5
Super Monkey Ball Jr.,6 Hours,6.0
Super Monkey Ball Touch & Roll,57 Mins,0.95
Captain Toad: Treasure Tracker,7 Hours,7.0
Captain Toad: Treasure Tracker - Special Episode DLC,2 Hours,2.0
Gardening Mama,5 Hours,5.0
Gardening Mama 2: Forest Friends,--,
Gyromite,1.5 Hours,1.5
Devil Dice,--,
Bombastic,2.5 Hours,2.5
XI Coliseum,--,
Kirby Tilt 'n' Tumble,3 Hours,3.0
Intelligent Qube,3 Hours,3.0
I.Q Mania,--,
I.Q Remix+: Intelligent Qube,--,
Boom Blox,4.5 Hours,4.5
Boom Blox Bash Party,7 Hours,7.0
Qix,1 Hours,1.0
Qix Neo,50 Mins,0.8333333333333334
Super Qix,--,
Chinese Paladin: Sword and Fairy 2,--,
Ultimate Qix,39 Mins,0.65
QIX++,--,
Lode Runner,3 Hours,3.0
Lode Runner Legacy,--,
Battle Lode Runner,--,
Lode Runner: The Legend Returns,7 Hours,7.0
Lode Runner 3D,--,
Hyper Lode Runner,14 Hours,14.0
Lode Runner 2,--,
Power Lode Runner,--,
Championship Lode Runner,--,
Bomberman 64,3.5 Hours,3.5
Bomberman 64: The Second Attack,6 Hours,6.0
Bomberman,2 Hours,2.0
Super Bomberman R,4 Hours,4.0
Super Bomberman 2,2 Hours,2.0
Super Bomberman,2 Hours,2.0
Bomberman Max 2,6.5 Hours,6.5
Saturn Bomberman,3.5 Hours,3.5
Pocket Bomberman,2 Hours,2.0
Mega Bomberman,3 Hours,3.0
Super Bomberman 4,57 Mins,0.95
Super Bomberman 3,2.5 Hours,2.5
Bomberman II,2 Hours,2.0
Super Bomberman 5,2 Hours,2.0
Bomberman '93,3.5 Hours,3.5
Bomberman Jetters,8 Hours,8.0
Pong: The Next Level,4 Hours,4.0
Puzzler Collection,13.5 Hours,13.5
Lemmings,8.5 Hours,8.5
Lemmings Touch,15.5 Hours,15.5
Lemmings 2: The Tribes,11 Hours,11.0
Lemmings 3D,6 Hours,6.0
Lemmings Revolution,13 Hours,13.0
Oh No! More Lemmings,--,
All New World of Lemmings,--,
Lemmings Paintball,--,
Q*bert,4.5 Hours,4.5
Q*bert: Rebooted,4 Hours,4.0
Q*bert 3,--,
Q*bert's Qubes,--,
Clu Clu Land,27 Mins,0.45
Golf Club: Wasteland,2 Hours,2.0
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,4 Hours,4.0
Golf Club Wasteland,--,
Professor Layton and the Azran Legacy,16.5 Hours,16.5
The Next Tetris,--,
Jr. Pac-Man,16 Mins,0.26666666666666666
Puzzler World,7.5 Hours,7.5
Puzzler World 2,15 Hours,15.0
Tetris Party Deluxe,49 Mins,0.8166666666666667
WarioWare: Twisted!,1.5 Hours,1.5
Katamari Damacy,6 Hours,6.0
Catherine,13 Hours,13.0
Catherine: Full Body,11.5 Hours,11.5
Angry Birds Trilogy,10 Hours,10.0
Mario's Picross,17.5 Hours,17.5
Mario's Super Picross,15.5 Hours,15.5
Mario's Picross 2,--,
Puyo Puyo Sun,38 Mins,0.6333333333333333
BurgerTime,25 Mins,0.4166666666666667
BurgerTime Party!,--,
BurgerTime Deluxe,2.5 Hours,2.5
Super BurgerTime,43 Mins,0.7166666666666667
Pokemon Trozei!,3.5 Hours,3.5
Classic NES Series: Dr. Mario,2.5 Hours,2.5
Archer Maclean's Mercury,6.5 Hours,6.5
CrossworDS,--,
The New York Times Crosswords,--,
Crosswords Plus,--,
Coffeetime Crosswords,--,
Hello Kitty: Big City Dreams,3 Hours,3.0
Jewel Master: Egypt,33 Hours,33.0
We Love Katamari,8 Hours,8.0
100 All-Time Favorites,--,
Picross DS,41 Hours,41.0
Kemono Friends Picross,16.5 Hours,16.5
Picross 3D,42 Hours,42.0
Picross 3D: Round 2,39.5 Hours,39.5
Mario & Wario,4 Hours,4.0
FantaVision,2.5 Hours,2.5
Pokemon Puzzle League,4 Hours,4.0
Super Breakout,5 Mins,0.08333333333333333
Master of Illusion,--,
Katamari Forever,11 Hours,11.0
Diner Dash: Sizzle & Serve,--,
Hangman,7 Mins,0.11666666666666667
Boot Hill Heroes - The Hangman's Ballad,--,
Cognition Episode 1: The Hangman,5 Hours,5.0
Extreme Hangman,--,
Picross S2,21 Hours,21.0
Picross e2,13.5 Hours,13.5
Picross NP Vol. 2,13 Hours,13.0
Picross Luna 2,--,
Super Bust-A-Move,1 Hours,1.0
Super Bust-A-Move 2,2.5 Hours,2.5
Puzzle Quest: Challenge of the Warlords,34.5 Hours,34.5
Puzzle Quest: Challenge of the Warlords - Revenge of the Plague Lord,--,
Bejeweled 3,4.5 Hours,4.5
Bomberman World,1.5 Hours,1.5
Bookworm,4.5 Hours,4.5
Bookworm Deluxe,2.5 Hours,2.5
Bookworm Adventures: Volume 2,8 Hours,8.0
Bookworm Adventures,5.5 Hours,5.5
Planet Puzzle League,4.5 Hours,4.5
Beautiful Katamari,6 Hours,6.0
Kirby's Block Ball,2.5 Hours,2.5
Super Tetris 2 + Bombliss,--,
Bust-a-Move Universe,3 Hours,3.0
7 Wonders II,6 Hours,6.0
Math Play,--,
Spin Jam,5 Hours,5.0
Puyo Puyo 7,3.5 Hours,3.5
I Spy: Spooky Mansion,1 Hours,1.0
The New Tetris,--,
Feel the Magic: XY/XX,3 Hours,3.0
Neopets Puzzle Adventure,3 Hours,3.0
Jewel Quest Mysteries: Curse of the Emerald Tear,7.5 Hours,7.5
Puyo Puyo! 15th Anniversary,9 Hours,9.0
Pac-Pix,4.5 Hours,4.5
Super Collapse! 3,6.5 Hours,6.5
Polarium,5.5 Hours,5.5
Polarium Advance,--,
Bomberman Tournament,7 Hours,7.0
Lumines: Electronic Symphony,3 Hours,3.0
Jewel Master: Cradle of Rome,--,
Jewel Master: Cradle of Rome 2,--,
Angry Birds,6.5 Hours,6.5
Angry Birds Star Wars,4.5 Hours,4.5
Angry Birds 2,5 Hours,5.0
Angry Birds Explore,--,
Angry Birds Epic,13 Hours,13.0
Angry Birds VR: Isle of Pigs,2.5 Hours,2.5
Angry Birds POP!,--,
Angry Birds Space,5 Hours,5.0
Angry Birds Breakfast,23 Mins,0.38333333333333336
Angry Birds Breakfast 2,29 Mins,0.48333333333333334
Angry Birds Stella,--,
Angry Birds Transformers,--,
Angry Birds Radox,1 Mins,0.016666666666666666
Angry Birds GO!,--,
Angry Birds Blast,--,
Angry Birds Evolution,--,
Angry Birds Match,3.5 Hours,3.5
Angry Birds Star Wars II,4.5 Hours,4.5
Meteos,5.5 Hours,5.5
Meteos: Disney Magic,1.5 Hours,1.5
Meteos Wars,--,
Me & My Katamari,7 Hours,7.0
Bust-a-Move 4,2.5 Hours,2.5
Kirby's Star Stacker,7 Hours,7.0
Jewel Quest: Expeditions,--,
Bust-A-Move 2: Arcade Edition,40 Mins,0.6666666666666666
I SPY Castle,2 Hours,2.0
Squeeballs Party,--,
Bendy and the Ink Machine,4 Hours,4.0
Jewel Master: Cradle of Athena,12.5 Hours,12.5
Jewel Match,--,
Jewel Match Solitaire,--,
Jewel Match Atlantis Solitaire,--,
Jewel Match Solitaire L'Amour,--,
Jewel Match Twilight Solitaire,--,
Professor Heinz Wolff's Gravity,2 Hours,2.0
Luxor 3,7 Hours,7.0
Sudoku Gridmaster,--,
Zoo Keeper,--,
Zookeeper Battle,--,
Zookeeper World,--,
Cryptozookeeper,--,
ZooKeeper Simulator,--,
Puzzle Quest: Galactrix,15 Hours,15.0
Marble Saga: Kororinpa,--,
Take A Break's: Puzzle Master,--,
Mr. Driller 2,17 Hours,17.0
Bust-A-Move Bash!,3.5 Hours,3.5
WordJong DS,--,
Klax,--,
Brain Boost: Beta Wave,--,
Jewel Quest Solitaire,6 Hours,6.0
Rubik's World,--,
Pipe Dreams 3D,--,
Safecracker: The Ultimate Puzzle Adventure,3.5 Hours,3.5
Balloon Pop,--,
Balloon Popping Pigs,--,
Diner Dash: Flo On The Go,--,
Mojo!,8.5 Hours,8.5
Pipe Mania,2 Hours,2.0
Pipemania,--,
Super Puzzle Fighter II Turbo,1 Hours,1.0
Super Puzzle Fighter II Turbo HD Remix,1 Hours,1.0
Puyo Puyo!! 20th Anniversary,--,
Bust-a-Move Deluxe,--,
Touch My Katamari,2.5 Hours,2.5
Magnetica,10 Hours,10.0
Kororinpa: Marble Mania,3.5 Hours,3.5
Puzzle Kingdoms,18 Hours,18.0
Margot's Word Brain,34 Mins,0.5666666666666667
Nintendo Puzzle Collection,--,
