Name,Main story duration,Duration hrs
Saints Row 2 - Ultor Exposed DLC,46 Mins,0.7666666666666667
Saints Row 2 - Corporate Warfare DLC,1 Hours,1.0
Tom Clancy's Splinter Cell,12.5 Hours,12.5
Tom Clancy's Splinter Cell: Chaos Theory,13 Hours,13.0
Tom Clancy's Splinter Cell: Blacklist,11 Hours,11.0
Tom Clancy's Splinter Cell: Conviction,7.5 Hours,7.5
Tom Clancy's Splinter Cell: Double Agent,11 Hours,11.0
Tom Clancy's Splinter Cell: Pandora Tomorrow,10.5 Hours,10.5
Tom Clancy's Splinter Cell: Essentials,10 Hours,10.0
Tom Clancy's Splinter Cell: Mission Pack,2 Hours,2.0
Tom Clancy's Splinter Cell 3D,12 Hours,12.0
inFAMOUS,15 Hours,15.0
inFAMOUS: Second Son,10 Hours,10.0
inFAMOUS 2,12.5 Hours,12.5
inFAMOUS: First Light,4 Hours,4.0
Kelvin and the Infamous Machine,4 Hours,4.0
inFAMOUS: Festival of Blood,2.5 Hours,2.5
inFAMOUS: Second Son - Cole's Legacy DLC,--,
Devil May Cry,6 Hours,6.0
Devil May Cry 5,11 Hours,11.0
DmC: Devil May Cry,9 Hours,9.0
Devil May Cry 4: Special Edition,10.5 Hours,10.5
Devil May Cry 3: Dante's Awakening - Special Edition,12 Hours,12.0
Devil May Cry 2,5 Hours,5.0
Devil May Cry 4,11 Hours,11.0
Devil May Cry 5: Special Edition,11 Hours,11.0
Devil May Cry 3: Dante's Awakening,12 Hours,12.0
DmC: Devil May Cry - Definitive Edition,9 Hours,9.0
DmC: Devil May Cry - Vergil's Downfall DLC,2 Hours,2.0
Devil May Cry 5 - Vergil,5.5 Hours,5.5
Devil May Cry 5 - Bloody Palace,--,
Devil May Cry 4 Refrain,--,
Hitman 2: Silent Assassin,14 Hours,14.0
Skylanders: Spyro's Adventure,10 Hours,10.0
Star Wars: The Force Unleashed,8 Hours,8.0
Star Wars: The Force Unleashed II,5 Hours,5.0
Star Wars: The Force Unleashed - Ultimate Sith Edition,8 Hours,8.0
Star Wars: The Force Unleashed - Hoth DLC,43 Mins,0.7166666666666667
Star Wars: The Force Unleashed - Jedi Temple DLC,42 Mins,0.7
Star Wars: The Force Unleashed - Tatooine DLC,34 Mins,0.5666666666666667
Star Wars: The Force Unleashed II - Endor DLC,50 Mins,0.8333333333333334
Saints Row: The Third,15 Hours,15.0
Saints Row: The Third Remastered,14.5 Hours,14.5
