Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,year,Franchise_wikipedia,compound,multiplayer,singleplayer,oem,Global_Sales.log,N_pro.log,N_user.log,PC,nintendo,playstation,xbox,Publisher_top,pub_activision,pub_amc games,pub_capcom,pub_ea games,pub_ea sports,pub_electronic arts,pub_konami,pub_nintendo,pub_scea,pub_sega,pub_thq,pub_ubisoft,Franchise_top,lic_Final Fantasy,lic_Harry Potter,lic_Marvel,lic_NBA,lic_Others,lic_PGA Tour,lic_Prince of Persia,lic_Sonic The Hedgehog,lic_Star Wars,lic_The Sims,lic_Tom Clancy’s,lic_WWE,year.release_2001,year.release_2002,year.release_2003,year.release_2004,year.release_2005,year.release_2006,year.release_2007,year.release_2008,year.release_2009,year.release_2010,year.release_2011,year.release_2012,year.release_2013,year.release_2014,year.release_2015,year.release_2016,year.release_2017,year.release_2018,genre_Action,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,labels,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7
The Lord of the Rings: The Two Towers,GC,Action,0.53,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.4,ea games,Stormfront Studios,13,34,2002,The Lord of the Rings,0.4937230769230769,0.0,1.0,nintendo,13.180634172318978,2.6390573296152584,3.5553480614894135,0,1,0,0,ea games,0,0,0,1,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The Lord of the Rings: The Two Towers,GC,Action,0.53,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.4,ea games,Stormfront Studios,13,34,2002,The Lord of the Rings,0.4937230769230769,0.0,1.0,nintendo,13.180634172318978,2.6390573296152584,3.5553480614894135,0,1,0,0,ea games,0,0,0,1,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Batman: Arkham Asylum,PC,Action,0.32,batman-arkham-asylum,Batman: Arkham Asylum,"Action Adventure, Fantasy, General, Fantasy",9.1,8.6,eidos interactive,Rocksteady Studios,29,2708,2009,Batman,0.4199344827586206,0.0,1.0,PC,12.676079399771027,3.4011973816621555,7.904334842085095,1,0,0,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Assassin's Creed: Revelations,PS3,Action,4.23,assassin-s-creed-revelations,Assassin's Creed: Revelations,"Action Adventure, Historic, Historic, Open-World",8.0,7.6,ubisoft,Ubisoft Montreal,39,827,2011,Assassin's Creed,0.1520692307692307,1.0,1.0,playstation,15.257712787429051,3.6888794541139363,6.71901315438526,0,0,1,0,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
Assassin's Creed: Revelations,X360,Action,4.22,assassin-s-creed-revelations,Assassin's Creed: Revelations,"Action Adventure, Historic, Historic, Open-World",8.0,7.3,ubisoft,Ubisoft Montreal,77,715,2011,Assassin's Creed,0.5019,1.0,1.0,xbox,15.255345922978991,4.356708826689592,6.573680166960646,0,0,0,1,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Assassin's Creed: Revelations,PC,Action,0.76,assassin-s-creed-revelations,Assassin's Creed: Revelations,"Action Adventure, Historic, Historic, Open-World",8.0,7.6,ubisoft,Ubisoft Montreal,20,1320,2011,Assassin's Creed,0.607845,1.0,1.0,PC,13.541075028051122,3.044522437723423,7.186144304522325,1,0,0,0,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
God of War II,PS2,Action,4.07,god-of-war-ii,God of War II,"Action Adventure, Fantasy",9.3,9.0,scea,SCE Santa Monica,70,1512,2007,God of War,0.4641171428571428,1.0,1.0,playstation,15.219153803118994,4.2626798770413155,7.321849713788356,0,0,1,0,scea,0,0,0,0,0,0,0,0,1,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Assassin's Creed Origins,XOne,Action,2.47,assassin-s-creed-origins,Assassin's Creed Origins,"Action Adventure, Open-World",8.5,7.7,ubisoft,Ubisoft,42,178,2017,Assassin's Creed,0.606020238095238,0.0,1.0,xbox,14.719729113462378,3.7612001156935624,5.187385805840755,0,0,0,1,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Assassin's Creed Origins,PC,Action,0.1,assassin-s-creed-origins,Assassin's Creed Origins,"Action Adventure, Open-World",8.4,6.9,ubisoft,Ubisoft,31,428,2017,Assassin's Creed,0.4398275862068964,0.0,1.0,PC,11.51293546492023,3.4657359027997265,6.061456918928017,1,0,0,0,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
Far Cry 5,XOne,Action,1.78,far-cry-5,Far Cry 5,"Action, Shooter, First-Person, Arcade",8.2,6.9,ubisoft,Ubisoft Montreal,33,141,2018,Far Cry,0.5005837500000003,0.0,1.0,xbox,14.392124484065864,3.5263605246161616,4.955827057601261,0,0,0,1,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
