Name,Franchise,Rating igdb,Rating count igdb,Follows igdb,Name normalizes
Middle-earth: Shadow of War,The Lord of the Rings,79.6513977171312,250.0,270.0,MIDDLE-EARTH: SHADOW OF WAR
Peter Jackson's King Kong: The Official Game of the Movie,King Kong,73.2503699258565,85.0,20.0,PETER JACKSON'S KING KONG: THE OFFICIAL GAME OF THE MOVIE
Tenchu: Stealth Assassins,,79.7328665612752,41.0,16.0,TENCHU: STEALTH ASSASSINS
Devil May Cry 2,,56.0996514118104,150.0,28.0,DEVIL MAY CRY 2
E.T. the Extra-Terrestrial,,48.5158757825581,28.0,2.0,E.T.: THE EXTRA TERRESTRIAL
Dishonored 2,,85.16550123358799,425.0,262.0,DISHONORED 2
inFAMOUS 2,inFAMOUS,82.9569393412786,198.0,80.0,INFAMOUS 2
Dynasty Warriors 3,Romance Of The Three Kingdoms,70.738082092025,13.0,7.0,DYNASTY WARRIORS 3
The Evil Within,,74.0899946726621,250.0,112.0,THE EVIL WITHIN
Phineas and Ferb,Disney,,,1.0,PHINEAS AND FERB
LEGO Star Wars III: The Clone Wars,Star Wars,72.6333633039983,60.0,22.0,LEGO STAR WARS III: THE CLONE WARS
Spongebob Squarepants: SuperSponge,Spongebob Squarepants,50.0277442702051,6.0,1.0,SPONGEBOB SQUAREPANTS: SUPERSPONGE
The Getaway: Black Monday,,70.0250042709158,5.0,4.0,THE GETAWAY: BLACK MONDAY
50 Cent: Bulletproof,,60.3669990854294,13.0,1.0,50 CENT: BULLETPROOF
State of Emergency,,54.409579404121,9.0,3.0,STATE OF EMERGENCY
2 Games in 1 Double Pack: The Incredibles + Finding Nemo: The Continuing Adventures,,,,,2 GAMES IN 1 DOUBLE PACK: THE INCREDIBLES / FINDING NEMO: THE CONTINUING ADVENTURES
Kinect Star Wars,Star Wars,52.1173911639203,13.0,3.0,KINECT STAR WARS
Just Cause 2,,78.1008364143847,325.0,117.0,JUST CAUSE 2
For Honor: Season 13 - Hope,For Honor,,,,FOR HONOR
LEGO City Undercover: The Chase Begins,LEGO,73.0,3.0,,LEGO CITY UNDERCOVER: THE CHASE BEGINS
Twisted Metal III,Twisted Metal,73.3938415221477,23.0,7.0,TWISTED METAL III
Ben 10: Protector of Earth,Ben 10,67.48215225197251,22.0,3.0,BEN 10: PROTECTOR OF EARTH
Saints Row IV,,75.3382776125226,366.0,124.0,SAINTS ROW IV
,,,,,MONSTER HUNTER DOUBLE CROSS
Star Wars: The Clone Wars – Lightsaber Duels,Star Wars,63.0,4.0,,STAR WARS THE CLONE WARS: LIGHTSABER DUELS
Heavenly Sword,,73.2030183922747,44.0,21.0,HEAVENLY SWORD
Dead Rising 3,,67.47197486146649,95.0,35.0,DEAD RISING 3
